"order_id";"order_date";"ship_mode";"segment";"country";"city";"state";"postal_code";"region";"sub_category";"product_id";"cost_price";"list_price";"quantity";"discount_percent";"category_Office Supplies";"category_Technology";"sales";"order_month";"order_day";"order_weekday";"order_hour";"log_sales";"profit"
1;"2023-03-01 00:00:00";"Second Class";"Consumer";"United States";"Henderson";"Kentucky";42420;"South";"Bookcases";"FUR-BO-10001798";240;260;2;2;0;0;520;3;1;2;0;6.255750041753367;20
2;"2023-08-15 00:00:00";"Second Class";"Consumer";"United States";"Henderson";"Kentucky";42420;"South";"Chairs";"FUR-CH-10000454";600;730;3;3;0;0;2190;8;15;1;0;7.692113339595466;130
3;"2023-01-10 00:00:00";"Second Class";"Corporate";"United States";"Los Angeles";"California";90036;"West";"Labels";"OFF-LA-10000240";10;10;2;5;1;0;20;1;10;1;0;3.044522437723423;0
4;"2022-06-18 00:00:00";"Standard Class";"Consumer";"United States";"Fort Lauderdale";"Florida";33311;"South";"Tables";"FUR-TA-10000577";780;960;5;2;0;0;4800;6;18;5;0;8.476579508530941;180
5;"2022-07-13 00:00:00";"Standard Class";"Consumer";"United States";"Fort Lauderdale";"Florida";33311;"South";"Storage";"OFF-ST-10000760";20;20;2;5;1;0;40;7;13;2;0;3.713572066704308;0
6;"2022-03-13 00:00:00";"Not Available";"Consumer";"United States";"Los Angeles";"California";90032;"West";"Furnishings";"FUR-FU-10001487";50;50;7;3;0;0;350;3;13;6;0;5.860786223465865;0
7;"2022-12-28 00:00:00";"Standard Class";"Consumer";"United States";"Los Angeles";"California";90032;"West";"Art";"OFF-AR-10002833";10;10;4;3;1;0;40;12;28;2;0;3.713572066704308;0
8;"2022-01-25 00:00:00";"Standard Class";"Consumer";"United States";"Los Angeles";"California";90032;"West";"Phones";"TEC-PH-10002275";860;910;6;5;0;1;5460;1;25;1;0;8.605387202152153;50
9;"2023-03-23 00:00:00";"Not Available";"Consumer";"United States";"Los Angeles";"California";90032;"West";"Binders";"OFF-BI-10003910";20;20;3;2;1;0;60;3;23;3;0;4.110873864173311;0
10;"2023-05-16 00:00:00";"Standard Class";"Consumer";"United States";"Los Angeles";"California";90032;"West";"Appliances";"OFF-AP-10002892";90;110;5;3;1;0;550;5;16;1;0;6.311734809152915;20
11;"2023-03-31 00:00:00";"Not Available";"Consumer";"United States";"Los Angeles";"California";90032;"West";"Tables";"FUR-TA-10001539";1470;1710;9;3;0;0;15390;3;31;4;0;9.641538201979953;240
12;"2023-12-25 00:00:00";"Not Available";"Consumer";"United States";"Los Angeles";"California";90032;"West";"Phones";"TEC-PH-10002033";750;910;4;3;0;1;3640;12;25;0;0;8.200013648175434;160
13;"2022-02-11 00:00:00";"Standard Class";"Consumer";"United States";"Concord";"North Carolina";28027;"South";"Paper";"OFF-PA-10002365";20;20;3;3;1;0;60;2;11;4;0;4.110873864173311;0
14;"2023-07-18 00:00:00";"Standard Class";"Consumer";"United States";"Seattle";"Washington";98103;"West";"Binders";"OFF-BI-10003656";360;410;3;2;1;0;1230;7;18;1;0;7.115582126184454;50
15;"2023-11-09 00:00:00";"unknown";"Home Office";"United States";"Fort Worth";"Texas";76106;"Central";"Appliances";"OFF-AP-10002311";60;70;5;5;1;0;350;11;9;3;0;5.860786223465865;10
16;"2022-06-18 00:00:00";"Standard Class";"Home Office";"United States";"Fort Worth";"Texas";76106;"Central";"Binders";"OFF-BI-10000756";0;0;3;5;1;0;0;6;18;5;0;0.0;0
17;"2022-02-04 00:00:00";"Standard Class";"Consumer";"United States";"Madison";"Wisconsin";53711;"Central";"Storage";"OFF-ST-10004186";610;670;6;3;1;0;4020;2;4;4;0;8.299285906897275;60
18;"2023-08-04 00:00:00";"Second Class";"Consumer";"United States";"West Jordan";"Utah";84084;"West";"Storage";"OFF-ST-10000107";60;60;2;4;1;0;120;8;4;4;0;4.795790545596741;0
19;"2022-01-23 00:00:00";"Second Class";"Consumer";"United States";"San Francisco";"California";94109;"West";"Art";"OFF-AR-10003056";10;10;2;4;1;0;20;1;23;6;0;3.044522437723423;0
20;"2022-01-11 00:00:00";"Second Class";"Consumer";"United States";"San Francisco";"California";94109;"West";"Phones";"TEC-PH-10001949";170;210;3;3;0;1;630;1;11;1;0;6.447305862541213;40
21;"2022-10-05 00:00:00";"Second Class";"Consumer";"United States";"San Francisco";"California";94109;"West";"Binders";"OFF-BI-10002215";20;20;4;2;1;0;80;10;5;2;0;4.394449154672439;0
22;"2023-07-16 00:00:00";"Standard Class";"Corporate";"United States";"Fremont";"Nebraska";68025;"Central";"Art";"OFF-AR-10000246";20;20;7;4;1;0;140;7;16;6;0;4.948759890378168;0
23;"2023-05-06 00:00:00";"Standard Class";"Corporate";"United States";"Fremont";"Nebraska";68025;"Central";"Appliances";"OFF-AP-10001492";50;60;7;3;1;0;420;5;6;5;0;6.042632833682381;10
24;"2023-05-21 00:00:00";"Second Class";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"Chairs";"FUR-CH-10002774";60;70;2;4;0;0;140;5;21;6;0;4.948759890378168;10
